stonk,shortRatio,entToRev,profitMargin,enterpriseToEbitda,revenueQuarterlyGrowth,sharesShortPreviousMonthDate,enterpriseValue,sharesShort,fiftyTwoWeekLow,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,labels
OUT,1.78,5.82,-0.04934,33.782,0,1611878400,7195592704,3464879,7.07,28.548050021140988,30.154692762897106,17.501115084488127,13.55285712650844,14.671500110626221,16.47636383230036,14.586818174882369,15.965714409237815,16.140476090567454,14.741363612088291,17.983499908447264,19.962272730740633,1
DAL,0.75,3.173,-0.72448,-7.518,0,1611878400,54237384704,10456511,17.51,59.1474532407709,56.85732474425532,37.28590913252397,24.68142863682338,23.233000183105467,30.797272942282937,27.27818185632879,29.100952420915878,32.22095244271414,32.28454572504217,36.967999649047854,41.706818320534445,1
UAL,0.87,2.614,-0.46036997,-6.092,0,1611878400,40135028736,14248998,17.8,85.78476242792038,78.39263112921464,42.85727292841131,28.999047688075475,25.92599983215332,38.6277270750566,34.15363623879173,36.072380610874724,36.923334030877974,36.235455079512164,40.591499710083006,47.24590925736861,1
SHO,3.18,13.499,-1.51056,-36.769,0,1611878400,3616473088,6253441,5.75,13.325069386378166,12.979244472655312,9.377655718186226,8.844285647074381,8.637999987602234,9.385000055486506,7.794545455412432,8.238095238095237,8.27428572518485,8.041363607753407,9.991499948501588,11.250909025018865,-1
DOW,2.58,1.622,0.03178,11.521,0,1611878400,62510460928,11055959,21.95,48.14318418217606,44.35274185485065,30.612647293427333,31.911044082111133,33.992377483565335,40.771618508834,41.2635143241794,43.0879358691461,48.0626264249425,47.63423067887697,52.27687279302451,54.33086397503063,1
IPA,0.09,0.0,-0.15477,0.0,0,1611878400,193467472,16632,10.095,25.260000228881836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
OCC,0.3,0.797,-0.110740006,-10.736,0,1611878400,44082036,20305,2.05,3.462857132866269,3.2994737248671684,2.685909076170488,2.540952375956944,2.5704999685287477,2.7113636298613115,2.4472727450457485,2.6376190185546875,2.5814285845983598,3.325454527681524,2.8674999833106996,3.0049999843944204,1
CMS,1.69,4.875,0.11302,13.647,0,1611878400,32562092032,3352133,46.03,63.11370005301116,65.95967172619599,60.56130120478365,58.81074776898384,54.97747537771769,58.19020441613796,60.69682558757354,60.84689426257664,60.818460333885824,63.85059776999924,64.1770582961316,59.68760319221519,1
HAS,4.2,3.116,0.040710002,17.154,0,1611878400,17028353024,4511630,41.33,100.96066325738704,93.79890080676186,62.748461122803086,72.69673880034142,68.04782238528641,74.29527183442103,74.66919074333545,77.91861529041887,79.04117676580265,85.8236771537186,88.98285103156084,92.78937756870313,1
DON,0.0,0.0,0.0,0.0,0,0,0,0,20.07,36.736674362470126,36.27758390834426,26.433998262140562,25.052089160196093,26.23106454441837,28.88074664273931,28.521415469030593,30.041867087669445,29.320601493541684,30.27065269053529,32.68346654705938,34.60550576047397,2
SPY,0.0,0.0,0.0,0.0,0,0,0,0,218.26,322.1262619762132,324.4483551033026,266.8721903484559,275.4445175815715,290.48313595224374,309.38023473682597,318.982062950974,336.7928292706472,337.42026530159006,342.4244523884982,354.9957748317339,369.64993921524524,-1
MET,2.98,1.931,0.0797,15.883,0,1611878400,131035947008,18974746,22.85,48.98593228777,48.43016671114675,32.089359048390754,31.801234970832063,33.421958950804346,37.26553667914112,36.73734007614715,38.337625913703455,37.66562474322217,38.60166919126895,44.74715250048578,46.775979403710444,1
NET,2.03,53.253,-0.27692,-343.633,0,1611878400,22955366400,9990983,15.05,18.319000153314498,19.578263332969264,22.139409151944246,24.68852388291132,28.01724977493286,33.1973183371804,38.75477287986062,40.680619376046316,38.024952298118954,53.466635790738195,65.55255012512207,82.2618179321289,-1
APR,0.91,0.147,0.02377,0.907,0,0,160599696,493549,20.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
MOM,0.0,0.0,0.0,0.0,0,0,0,0,20.6,24.0019048055013,25.326315930015163,28.272272716869008,29.438571294148762,29.73350009918213,28.21772714094682,30.355454444885254,30.529999960036506,30.323809487479075,31.118636391379617,27.942500114440918,25.699545426802203,2
SHE,0.0,0.0,0.0,0.0,0,0,0,0,50.192,77.07766589840543,77.14490757556933,62.39048401844736,63.05406081265433,67.18523518910956,71.85024215633128,72.38232407351894,76.09916320195398,76.51675136983089,78.49544384070988,82.16137622878516,88.02779518425744,2
EZA,0.0,0.0,0.0,0.0,0,0,0,0,24.12,45.104836074187084,42.91639193222066,31.55447418708693,28.794695576357395,31.042328904276,34.80498052303336,37.17506287588377,36.23041135668686,36.16643481838595,36.84093125315429,40.50007359248694,43.391159214500014,2
BUY,0.0,0.0,0.0,0.0,0,0,0,0,11.23,18.545534411492795,17.465408447988096,12.609264033929934,12.187585425818217,13.432035639109994,14.987947511968947,15.146426139640797,16.621195511981607,16.475432475218685,17.176700071855024,17.179800033569336,0.0,2
XRT,0.0,0.0,0.0,0.0,0,0,0,0,26.29,44.79935756600979,43.821343175823344,33.431980697092975,33.317389407339654,38.11867747966987,42.86666379705203,45.407867064105545,51.429065042260866,50.8303727777083,53.44965753504009,56.34287669949729,63.1087542696818,2
JAN,0.07,0.641,-0.33601,-3.33,0,1611878400,23153134,99263,2.01,3.3838095324380055,3.7747368310627185,3.1113636276938696,2.679523842675345,2.806000030040741,3.4163636402650313,3.6313636302948,6.290000029972622,5.572857152848017,4.469090895219282,4.267499947547913,4.610000003467906,1
IPO,0.0,0.0,0.0,0.0,0,0,0,0,20.37,33.00434146697073,34.14091315648094,27.154746006293262,28.587142762683687,34.09099998474121,39.78909128362482,43.43000030517578,45.7461903889974,50.35714303879511,55.168181506070226,57.02700023651123,66.73136364329945,2
PEP,1.93,3.125,0.10118,17.284,0,1611878400,219933130752,10029505,101.42,134.85980236917462,139.73281084497933,124.02759432418993,129.81202887648845,129.5576921036485,129.84269785813274,133.1425021287855,135.14529951901446,135.037297431215,137.92506723909867,141.19071987293592,145.08440102399072,-1
AAL,1.13,2.832,-0.51249003,-5.615,0,1611878400,49106223104,76349014,8.25,27.911614337851223,27.762532736930947,15.836363662372936,11.6509522937593,10.374499845504761,15.933181762695312,12.315909082239324,13.363333384195963,13.29619039808001,12.707727302204479,13.044000053405762,16.784999934109774,-1
CUT,0.0,0.0,0.0,0.0,0,0,0,0,17.5,27.752920284523416,26.898052291089158,21.41905496750209,21.68757584205294,22.62586099398394,24.528748333122824,25.094879440133898,26.62389569442958,27.625026688769584,28.635654719186007,30.351129122273868,32.885927353736975,2
IBM,4.62,2.266,0.07593,10.918,0,1611878400,166817546240,30005072,90.56,130.08504165895891,142.19425693581718,109.76719709801824,114.40634395158122,117.36452292035099,120.70232801937499,118.9889182496901,122.14697829520136,120.15128134815664,118.2579323091454,116.78585036293603,124.20571299866918,-1
